srch_id,rows,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_brand_bool,prop_location_score1,prop_location_score2,prop_review_score,booked,prop_starrating_avg,prop_location_score1_avg,prop_location_score2_avg,prop_review_score_avg
d,c,d,c,c,d,d,c,d,c,c,c,d,c,c,c,c
class,class,class,class,class,class,class,class,class,class,class,class,class,class,class,class,class
12,1,219,,,158,47902,3,0,3.26,0.0952,3.5,0,3,3.26,0.0952,3.5
106,1,219,,,219,92570,3,1,2.56,0.4409,3.5,0,3,2.56,0.4409,3.5
192,1,219,,,219,85363,4,1,1.95,0.0513,4,2,4,1.95,0.0513,4
571,1,100,,,219,35123,3,1,1.61,0.0325,3.5,0,3,1.61,0.0325,3.5
757,1,100,,,100,63440,4,0,0,0.0359,4.5,0,4,0,0.0359,4.5
1635,1,219,,,60,84378,5,1,5.92,0.1105,4.5,0,5,5.92,0.1105,4.5
2392,1,219,,,55,137426,4,0,5.35,0.0146,4,0,4,5.35,0.0146,4
2780,1,219,,,219,37790,4,1,2.3,0.025,4,0,4,2.3,0.025,4
3344,1,219,,,219,89503,3,1,2.77,0.0723,4,0,3,2.77,0.0723,4
3467,1,216,4.06,238.87,92,79919,5,1,2.83,0.0685,4.5,0,5,2.83,0.0685,4.5
3775,1,158,,,158,108949,2,0,3.87,0.0952,1.5,0,2,3.87,0.0952,1.5
4156,1,219,,,219,65100,4,1,4.56,0.3755,4.5,0,4,4.56,0.3755,4.5
4805,1,55,,,219,133689,4,1,5.19,0.3004,4.5,0,4,5.19,0.3004,4.5
5334,1,219,,,219,54920,3,1,2.3,0.125509244,4.5,0,3,2.3,0.125509244,4.5
6041,1,109,,,32,35869,3,0,4.5,0.2427,4,0,3,4.5,0.2427,4
6284,1,206,,,31,127703,3,0,3.69,0.18088,5,0,3,3.69,0.18088,5
6656,1,31,,,55,109085,4,1,,,,1,4,5.24,0.2233,4.5
6838,1,103,,,215,83434,4,0,2.08,0.0042,4,0,4,2.08,0.0042,4
7197,1,219,,,100,39573,3,1,2.56,0.0275,4.5,0,3,2.56,0.0275,4.5
7202,1,219,,,219,42533,4,0,0,0.125509244,4.5,0,4,0,0.125509244,4.5
7248,1,100,2.42,180.73,219,84334,3,1,2.64,0.125509244,4.5,0,3,2.64,0.125509244,4.5
7323,1,220,,,220,84154,4,0,2.4,0.0023,4.5,0,4,2.4,0.0023,4.5
7445,1,219,2.25,105.82,99,22272,1,1,2.4,0.0101,2.5,0,1,2.4,0.0101,2.5
7509,1,219,,,219,42855,4,1,2.08,0.0141,3.5,0,4,2.08,0.0141,3.5
7971,1,219,,,219,25974,3,1,1.61,0.125509244,4.5,0,3,1.61,0.125509244,4.5
8130,1,219,,,219,30547,2,1,3.04,0.125509244,3.5,0,2,3.04,0.125509244,3.5
8352,1,219,,,219,9983,2,0,2.56,0.1261,2,0,2,2.56,0.1261,2
8771,1,59,,,59,117873,4,0,3.14,0.0257,4,0,4,3.14,0.0257,4
9012,1,219,,,219,86245,2,1,3.97,0.0735,3.5,0,2,3.97,0.0735,3.5
9554,1,219,,,219,5961,4,1,2.08,0.0498,4.5,0,4,2.08,0.0498,4.5
9627,1,219,,,219,78974,2,1,2.4,0.1382,3,0,2,2.4,0.1382,3
11431,1,220,,,220,125892,5,1,4.88,0.3174,4,0,5,4.88,0.3174,4
11683,1,220,,,219,69184,4,1,5.18,0.3126,4,0,4,5.18,0.3126,4
11762,1,219,,,219,5853,3,1,2.2,0.6677,4,2,3,2.2,0.6677,4
12644,1,219,,,219,6039,3,1,2.56,0.0704,4.5,0,3,2.56,0.0704,4.5
12648,1,31,,,31,5284,4,0,1.61,0.18088,5,0,4,1.61,0.18088,5
12829,1,219,,,219,54838,4,1,1.79,0.0253,4,2,4,1.79,0.0253,4
12904,1,219,,,219,51742,2,0,4.03,0.1785,3.5,0,2,4.03,0.1785,3.5
13154,1,216,,,138,77186,3,0,4.28,0.1786,4,0,3,4.28,0.1786,4
13538,1,216,,,220,47219,5,0,2.89,0.1242,5,0,5,2.89,0.1242,5
13551,1,31,3.71,150.69,55,24131,4,0,5.3,0.0115,4.5,0,4,5.3,0.0115,4.5
14013,1,219,,,219,105388,3,0,1.61,0.125509244,4,0,3,1.61,0.125509244,4
14288,1,100,,,219,128615,4,1,5.34,0.6921,4.5,0,4,5.34,0.6921,4.5
14485,1,100,,,100,80545,4,1,3.99,0.1021,4,0,4,3.99,0.1021,4
14579,1,220,,,219,134786,5,0,4.48,0.1913,4.5,0,5,4.48,0.1913,4.5
15652,1,129,,,15,122921,5,1,3.58,0.0774,4,0,5,3.58,0.0774,4
15807,1,219,,,219,108030,3,1,2.3,0.0048,4,0,3,2.3,0.0048,4
15815,1,81,,,4,46961,5,0,5,0.0663,4.5,0,5,5,0.0663,4.5
16297,1,55,,,99,57857,4,1,5.62,0.0252,4,0,4,5.62,0.0252,4
16329,1,219,,,219,119278,,0,0,0.125509244,,0,,0,0.125509244,
16659,1,219,,,219,55230,4,1,1.61,0.125509244,4,0,4,1.61,0.125509244,4
17332,1,219,,,219,116424,2,1,1.61,0.075,3.5,0,2,1.61,0.075,3.5
18039,1,220,,,31,115069,,0,6.82,0.1089,3.5,0,,6.82,0.1089,3.5
18111,1,219,,,219,140438,3,1,1.1,0.125509244,4.5,0,3,1.1,0.125509244,4.5
18248,1,219,,,219,61529,4,1,5.7,0.1596,4.5,0,4,5.7,0.1596,4.5
18395,1,117,,,117,90588,3,1,0,0.0002,,0,3,0,0.0002,
18714,1,100,,,219,9301,4,1,2.2,0.042,4,0,4,2.2,0.042,4
18831,1,129,,,55,134989,3,0,2.56,0.001,4,0,3,2.56,0.001,4
19003,1,80,,,80,40335,3,1,3.66,0.2018,4,0,3,3.66,0.2018,4
19079,1,219,,,42,71078,3,0,1.61,0.0087,3,0,3,1.61,0.0087,3
19447,1,53,,,98,82713,4,0,,,,1,4,4.53,0.5723,4.5
19959,1,219,,,99,81944,4,1,5.99,0.3487,4.5,0,4,5.99,0.3487,4.5
19987,1,219,,,219,20856,2,1,0,0.0016,4,0,2,0,0.0016,4
20702,1,219,,,219,68495,3,1,3.71,0.0559,4,0,3,3.71,0.0559,4
21328,1,13,,,13,85988,2,0,4.17,0.3214,4,0,2,4.17,0.3214,4
22842,1,220,,,220,96502,5,0,3.78,0.2616,4,0,5,3.78,0.2616,4
22891,1,216,,,14,79394,3,1,3.85,0.164,4,0,3,3.85,0.164,4
23039,1,219,,,219,135380,3,1,3.85,0.0085,4,0,3,3.85,0.0085,4
23778,1,100,,,100,34966,3,0,5.04,0.2857,4.5,0,3,5.04,0.2857,4.5
24205,1,158,,,15,124440,,0,3.78,0.0774,,0,,3.78,0.0774,
24214,1,219,,,219,131110,4,1,3.37,0.12,4.5,0,4,3.37,0.12,4.5
24844,1,219,,,219,60267,3,1,2.56,0.0447,4.5,0,3,2.56,0.0447,4.5
25175,1,216,,,98,21288,5,0,2.2,0.310383333,4.5,0,5,2.2,0.310383333,4.5
25321,1,219,,,219,121586,4,1,4.6,0.2974,4,0,4,4.6,0.2974,4
25533,1,99,,,99,16190,3,1,3.22,0.2165,4,2,3,3.22,0.2165,4
25979,1,216,,,31,40467,5,1,6.69,0.0521,3,0,5,6.69,0.0521,3
