,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
0,12,2013-03-15 14:55:16,5,219,,,158,47902,3,3.5,0,3.26,,4.46,22,49.0,0,26648,2,21,3,0,1,1,,9286.15,1,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,,0
1,106,2013-06-17 09:20:02,5,219,,,219,92570,3,3.5,1,2.56,0.4409,0.0,1,119.0,1,25427,1,24,2,2,1,1,,155.53,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2,192,2013-03-15 12:10:10,5,219,,,219,85363,4,4.0,1,1.95,0.0513,5.03,6,161.0,0,19363,2,13,2,0,1,1,,414.69,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,1,359.9,1
3,571,2013-01-19 12:36:32,14,100,,,219,35123,3,3.5,1,1.61,0.0325,5.21,28,98.82,0,12582,5,65,3,0,1,0,,3037.14,1,,,,1.0,0.0,41.0,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
4,757,2013-05-06 17:58:43,14,100,,,100,63440,4,4.5,0,0.0,0.0359,5.79,22,237.39,0,2954,2,5,4,0,1,1,,161.29,0,,,,,,,,,,,,,0.0,0.0,71.0,,,,,,,0.0,0.0,71.0,0,,0
5,1635,2012-11-12 13:53:49,5,219,,,60,84378,5,4.5,1,5.92,0.1105,5.56,11,89.0,1,28150,3,10,2,0,1,1,,4465.29,0,,,,,,,,,,,,,0.0,0.0,13.0,,,,0.0,0.0,13.0,,,,0,,0
6,2392,2012-11-20 15:57:09,5,219,,,55,137426,4,4.0,0,5.35,0.0146,6.04,1,373.0,0,10979,6,25,2,3,1,0,,5447.16,0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,0,,0
7,2780,2013-02-01 16:22:57,5,219,,,219,37790,4,4.0,1,2.3,0.025,5.53,7,149.0,0,26928,1,0,2,0,1,1,,48.42,0,,,,0.0,1.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
8,3344,2013-04-03 11:26:09,5,219,,,219,89503,3,4.0,1,2.77,0.0723,4.75,27,79.0,0,4828,1,1,2,0,1,1,-17.9323,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
9,3467,2013-02-04 20:16:30,24,216,4.06,238.87,92,79919,5,4.5,1,2.83,0.0685,5.89,7,219.63,0,14669,1,2,1,0,1,0,,,0,,,,0.0,0.0,,-1.0,0.0,11.0,0.0,0.0,,0.0,0.0,,,,,,,,1.0,0.0,36.0,0,,0
10,3775,2012-12-11 00:41:40,19,158,,,158,108949,2,1.5,0,3.87,,3.31,29,32.85,0,4374,2,27,2,0,1,0,,,1,,,,1.0,0.0,37.0,0.0,0.0,,-1.0,0.0,2.0,1.0,0.0,14.0,,,,,,,,,,0,,0
11,4156,2013-03-02 10:58:48,5,219,,,219,65100,4,4.5,1,4.56,0.3755,5.37,9,127.0,1,26037,2,27,2,1,1,1,,128.53,0,,,,1.0,0.0,22.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
12,4805,2012-12-22 17:08:36,15,55,,,219,133689,4,4.5,1,5.19,0.3004,5.71,4,228.01,0,9402,3,163,3,0,2,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
13,5334,2013-02-13 09:29:56,5,219,,,219,54920,3,4.5,1,2.3,,4.85,26,169.0,0,1516,1,1,2,0,1,1,,21.21,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
14,6041,2013-01-23 00:38:52,5,109,,,32,35869,3,4.0,0,4.5,0.2427,5.56,20,249.0,0,6735,1,7,1,0,1,0,,,0,,,,,,,,,,,,,0.0,0.0,10.0,0.0,0.0,11.0,0.0,0.0,23.0,,,,0,,0
15,6284,2013-03-18 21:32:09,28,206,,,31,127703,3,5.0,0,3.69,,5.1,32,110.08,0,23562,3,53,2,0,1,1,,,0,,,,,,,,,,,,,-1.0,0.0,5.0,,,,,,,,,,0,,0
16,6656,2013-01-25 22:05:56,16,31,,,55,109085,4,4.5,1,5.24,0.2233,5.71,10,179.05,0,27397,3,29,2,0,1,1,,673.73,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1,,0
